S.No,Product/Drug Name,Batch No.,Manufacturing Date,Expiry Date,Manufactured By,NSQ Result,Reported by CDSCO Laboratory,Status,Source,Document,Manufact uring Date,S.No.,Name of Drugs/medical device/cosmetics,Unnamed_2,Unnamed_3,Date of Manufacture,Date of Expiry,Reason for failure,Drawn By,Firm’s reply,Remarks,Manufactu ring Date,Reported by State Laboratory,S. No.,Date of Manufa - cture,Manufactured by,Firm’s Reply,Manufacturi ng Date
43.,Sulbactam Sodium Sterile I.P./USP.,23051902,5/2023,04/2026,"M/s.Reyoung Pharmaceutical Co. Ltd., No.1,Ruiyang Road, Yiyuan Country,Shandong Province,P.R.China,Post Code:256100.Imported By: Shah TC Distribution LLP,Gala No.2 & 3, 1st Floor, BLD No. B1.H.No.709/2&709/3,Radha Krushna Compound,T.M. Industrial Park, Pimplas Bhiwandi,MH-421302, India.",Identification and Assay/Content of Sulbactam Sodium,"RDTL, Guwahati",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
44.,Albendazole Tablets IP 400 mg,LMT241100,9/2024,08/2026,"M/s.Life Max Cancer Laboratories, Plot No. 106 & 106 A, Sector6A, IIE, SIDCUL, Haridwar249403 (U.K)",Dissolution,"RDTL, Guwahati",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
45.,"Telmisartan I.P. 40 mg, Amlodipine Besylate I.P. 5 mg Tablets",ST 211,4/2024,03/2026,"M/s.Soham Healhcare INC, Soham Healthcare Inc A-49, Sector-25, Gandhinagar, Gujarat","""Dissolution"" (Telmisartan and Amlodipine) and ""Assay/ content of Telmisartan and Amlodipine""",CDTL-Mumbai,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
46.,Pioglitazone Hydrochloride Tablets (GLITO 15),D40292,5/2024,04/2027,"M/s.Medley Pharmaceuticals Ltd., Plot No. 18 & 19, Survey No.378/7 & 8, 379/2 & 3, Zari Causeway Road, Kachigam Daman- 396210 (U.T), INDIA","""Dissolution""",CDTL-Mumbai,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
47.,Glimepiride Tablets I.P. 1 mg,12801124,8/2024,07/2026,"M/s.Karnataka Antibiotics & Pharmaceuticals Limited (A Govt of India Enterprise), Plot No.14, II Phase, Peenya, Bengaluru - 560 058.","""Related substances""",CDTL-Mumbai,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
48.,Telmisartan & Hydrochlorothiazide Tablets IP (Telmijack-H),T-20560,3/2024,02/2026,"M/s.Jackson Laboratories Pvt. Ltd., Plot No. 56 & 61, Industrial Area, Phase III, Sansarpur Terrace, Distt. Kangra (H.P.)- 176501.","""Related substances and Assay of Hydrochlorothiazi de""",CDTL-Mumbai,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
49.,Sulphamethoxazole and Trimethoprim Tablets IP,MT386,10/2023,09/2026,"M/s.Mayasha Lifesciences, H.B. 86, Village-Bhatian Nalagarh, Distt.-Solan (H.P.) 174101",Dissolution of Sulphamethoxazol e,"RDTL, Chandigarh",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
50.,Levamisole & Oxyclozanide Bolus Vet. (Wormizole Bolus),EMVB-24162,10/2024,09/2026,"M/s.Events Corporation, UNIT- II, Kala Amb, Tehsil Nahan, District Sirmour (H.P.)-173030",Disintegration test,"RDTL, Chandigarh",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
51.,Sodium Chloride Injection IP 0.9 %w/v,LV4979,11/2024,10/2026,"M/s.Captab Biotec, Unit-II, Plot No.125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Distt. Solan (H.P.)-173205",Bacterial endotoxins and Sterility,"RDTL, Chandigarh",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
52.,Sodium Chloride Injection IP 0.9 %w/v,LV4987,11/2024,10/2026,"M/s.Captab Biotec, Unit-II, Plot No.125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Distt. Solan (H.P.)-173205",Bacterial endotoxins and Sterility,"RDTL, Chandigarh",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
